bike.id;model;categoria;subcategoria;material;price
98;Supersix Evo Hi-Mod Dura Ace 1;Road ; Elite Road ; Carbon;9000
99;Supersix Evo Ultegra 4;Road ; Elite Road ; Carbon;4000
100;CAAD12 Disc 105;Road ; Elite Road ; Aluminum;2200
101;Synapse Carbon Disc Ultegra D12;Road ; Endurance Road ; Carbon;5000
102;Slice Hi-Mod Dura Ace D12;Road ; Triathalon ; Carbon;6200
103;Jekyll Carbon 3;Mountain ; Over Mountain ; Carbon;3500
104;Trigger Carbon 4;Mountain ; Over Mountain ; Carbon;3100
105;Habit 6;Mountain ; Trail ; Aluminum;2300
106;Trail 5;Mountain ; Sport ; Aluminum;1220
107;Catalyst 4;Mountain ; Sport ; Aluminum;900
